,brand,url
0,Black Opal Beauty, https://www.blackopalbeauty.com/
1,SheaMoisture, https://www.sheamoisture.com/
2,Epara Skincare, https://eparaskincare.com/
3,Bolden Skincare, https://www.boldenusa.com/
4,African Botanics, https://africanbotanics.com/
5,Makari de Suisse, https://www.makari.com/
6,Urban Skin Rx, https://urbanskinrx.com/
7,Bevel, https://getbevel.com/
8,Unsun,https://www.unsuncosmetics.com/
9,Alaffia,https://www.alaffia.com/
10,Nyakio,https://www.nyakio.com/us/en
12,Civant,https://www.civantskincare.com/pages/about
18,Drdennisgross,https://drdennisgross.com/
20,Nolaskinsentials,https://www.nolaskinsentials.com/
21,Rosemdskin,https://www.rosemdskin.com/
22,Dr.Thrower,https://drthrowerskincare.com/collections/all-products
23,Karite,https://www.mykarite.com/
24,Bergen Dermatology,https://bergenderm.com
25,Ambi,https://ambi.com
26,Clearessence,https://www.clearessence.com
